日	4	1	象形 Pictographic	5	ニチ、ジツ、ひ、か		nichi, jitsu	hi, ka	day; Sunday	sun; time; day, date	2	4
万	3	2	象形 Pictographic	5	マン、バン	よろず	man, ban	-	ten thousand; myriad. fully; if by any chance	-	4	0
度	9	3	会意 Com. Ideographic	4	ド、[ト]、[タク]、たび	わた、た	do, [to], [taku]	tabi	degree; extent, measure, limit; a time; graduation, scale; composure. save, redeem, reclaim	time, occasion; repetition	11	3
関	14	4	会意 Com. Ideographic	3	カン、せき、かか-わる		kan	seki, kaka(waru)	barrier, gateway	concern oneself in, have to do with; affect, influence; stick to (opinions); barrier, checking station	2	7
取	8	3	会意 Com. Ideographic	3	シュ、と-る	ス	shu	to(ru)	take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess	take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess	41	41
主	5	3	象形 Pictographic	4	シュ、[ス]、ぬし、おも	あるじ	shu, [su]	nushi, omo	Lord; lord, master, employer; aim; main thing	owner; master, husband; lover; a god; you. main	6	7
動	11	3	形声 Phonetic	4	ドウ、うご-く、うご-かす		doo	ugo(ku), ugo(kasu)	motion; change; confusion	move, stir, shift, shake, swing; operate, run, go, work; be touched, be influenced, waver, fluctuate, vary, change, be transferred. set in motion, inspire, rouse, influence; mobilize; deny	3	22
理	11	2	形声 Phonetic	4	リ		ri	-	reason, justice, truth, principle	-	4	0
家	10	2	会意 Com. Ideographic	4	カ、ケ、いえ、や		ka, ke	ie, ya	house	house, home, residence; housing; family, household; family name; fortune; shop, store, seller; dealer	1	12
気	6	1	形声 Phonetic	5	キ、ケ	いき	ki, ke	-	spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion	-	30	0
調	15	3	形声 Phonetic	3	チョウ、しら-べる、ととの-う、ととの-える	つき	choo	shira(beru), totono(u), totono(eru)	tune, tone, meter; key (in music); style of writing; tax in kind	test, examine, investigate, survey, check up; inspect, overhaul; search for; look up (a word); refer to (a book); interrogate; correct (papers); play (on an instrument). prepare, arrange; fill (orders); supply; raise (money); put in order, tidy up, adjust (clothes); regulate; settle; purchase. be prepared, be arranged, be in order, be adjusted, be well regulated; be settled	6	30
不	4	4	仮借 Loan	4	フ、ブ		fu, bu	-	negation; bad; clumsy; ugly	-	4	0
期	12	3	形声 Phonetic	3	キ、[ゴ]		ki, [go]	-	time, date, period, term; an age; season; session; a stage; opportunity	-	9	0
